Year,State_Name,County_Name,Total,Pop,Coke,Soda,Pop,Coke,Soda,pop coke or soda,,
2003,NE,Adams,26,23,0,2,0.884615385,0,0.076923077,2.884615385,,
2003,NE,Antelope,2,2,0,0,1,0,0,3,,
2003,NE,Arthur,0,0,0,0,0,0,0,0,,
2003,NE,Banner,0,0,0,0,0,0,0,0,,
2003,NE,Blaine,0,0,0,0,0,0,0,0,,
2003,NE,Boone,2,2,0,0,1,0,0,3,,
2003,NE,Box Butte,7,6,0,1,0.857142857,0,0.142857143,2.857142857,,
2003,NE,Boyd,3,2,0,1,0.666666667,0,0.333333333,2.666666667,,
2003,NE,Brown,0,0,0,0,0,0,0,0,,
2003,NE,Buffalo,26,20,1,5,0.769230769,0.038461538,0.192307692,2.769230769,,
2003,NE,Burt,10,9,0,1,0.9,0,0.1,2.9,,
2003,NE,Butler,2,2,0,0,1,0,0,3,,
2003,NE,Cass,12,11,0,1,0.916666667,0,0.083333333,2.916666667,,
2003,NE,Cedar,4,4,0,0,1,0,0,3,,
2003,NE,Chase,3,2,0,1,0.666666667,0,0.333333333,2.666666667,,
2003,NE,Cherry,3,1,0,2,0.333333333,0,0.666666667,6.666666667,,
2003,NE,Cheyenne,5,5,0,0,1,0,0,3,,
2003,NE,Clay,5,4,0,1,0.8,0,0.2,2.8,,
2003,NE,Colfax,4,4,0,0,1,0,0,3,,
2003,NE,Cuming,4,3,0,1,0.75,0,0.25,2.75,,
2003,NE,Custer,12,11,0,1,0.916666667,0,0.083333333,2.916666667,,
2003,NE,Dakota,14,13,0,1,0.928571429,0,0.071428571,2.928571429,,
2003,NE,Dawes,3,3,0,0,1,0,0,3,,
2003,NE,Dawson,17,13,0,4,0.764705882,0,0.235294118,2.764705882,,
2003,NE,Deuel,0,0,0,0,0,0,0,0,,
2003,NE,Dixon,9,9,0,0,1,0,0,3,,
2003,NE,Dodge,25,22,1,2,0.88,0.04,0.08,2.88,,
2003,NE,Douglas,456,362,7,81,0.793859649,0.015350877,0.177631579,2.793859649,,
2003,NE,Dundy,1,1,0,0,1,0,0,3,,
2003,NE,Fillmore,4,4,0,0,1,0,0,3,,
2003,NE,Franklin,5,5,0,0,1,0,0,3,,
2003,NE,Frontier,0,0,0,0,0,0,0,0,,
2003,NE,Furnas,4,4,0,0,1,0,0,3,,
2003,NE,Gage,17,14,0,3,0.823529412,0,0.176470588,2.823529412,,
2003,NE,Garden,2,1,1,0,0.5,0.5,0,0,,
2003,NE,Garfield,0,0,0,0,0,0,0,0,,
2003,NE,Gosper,0,0,0,0,0,0,0,0,,
2003,NE,Grant,1,0,0,0,0,0,0,0,,
2003,NE,Greeley,2,2,0,0,1,0,0,3,,
2003,NE,Hall,35,30,0,4,0.857142857,0,0.114285714,2.857142857,,
2003,NE,Hamilton,9,9,0,0,1,0,0,3,,
2003,NE,Harlan,4,4,0,0,1,0,0,3,,
2003,NE,Hayes,5,5,0,0,1,0,0,3,,
2003,NE,Hitchcock,9,9,0,0,1,0,0,3,,
2003,NE,Holt,7,6,0,1,0.857142857,0,0.142857143,2.857142857,,
2003,NE,Hooker,2,2,0,0,1,0,0,3,,
2003,NE,Howard,1,1,0,0,1,0,0,3,,
2003,NE,Jefferson,4,3,0,1,0.75,0,0.25,2.75,,
2003,NE,Johnson,3,3,0,0,1,0,0,3,,
2003,NE,Kearney,4,3,1,0,0.75,0.25,0,2.75,,
2003,NE,Keith,4,4,0,0,1,0,0,3,,
2003,NE,Keya Paha,0,0,0,0,0,0,0,0,,
2003,NE,Kimball,1,1,0,0,1,0,0,3,,
2003,NE,Knox,5,5,0,0,1,0,0,3,,
2003,NE,Lancaster,210,165,2,34,0.785714286,0.00952381,0.161904762,2.785714286,,
2003,NE,Lincoln,14,12,0,1,0.857142857,0,0.071428571,2.857142857,,
2003,NE,Logan,0,0,0,0,0,0,0,0,,
2003,NE,Loup,1,1,0,0,1,0,0,3,,
2003,NE,Madison,15,13,0,2,0.866666667,0,0.133333333,2.866666667,,
2003,NE,McPherson,0,0,0,0,0,0,0,0,,
2003,NE,Merrick,3,3,0,0,1,0,0,3,,
2003,NE,Morrill,6,1,1,2,0.166666667,0.166666667,0.333333333,6.333333333,,
2003,NE,Nance,0,0,0,0,0,0,0,0,,
2003,NE,Nemaha,3,2,0,0,0.666666667,0,0,2.666666667,,
2003,NE,Nuckolls,2,2,0,0,1,0,0,3,,
2003,NE,Otoe,9,7,1,0,0.777777778,0.111111111,0,2.777777778,,
2003,NE,Pawnee,1,1,0,0,1,0,0,3,,
2003,NE,Perkins,3,2,0,1,0.666666667,0,0.333333333,2.666666667,,
2003,NE,Phelps,2,2,0,0,1,0,0,3,,
2003,NE,Pierce,5,3,0,2,0.6,0,0.4,2.6,,
2003,NE,Platte,29,25,0,3,0.862068966,0,0.103448276,2.862068966,,
2003,NE,Polk,1,1,0,0,1,0,0,3,,
2003,NE,Red Willow,5,5,0,0,1,0,0,3,,
2003,NE,Richardson,6,6,0,0,1,0,0,3,,
2003,NE,Rock,1,1,0,0,1,0,0,3,,
2003,NE,Saline,11,11,0,0,1,0,0,3,,
2003,NE,Sarpy,136,105,5,24,0.772058824,0.036764706,0.176470588,2.772058824,,
2003,NE,Saunders,15,14,0,0,0.933333333,0,0,2.933333333,,
2003,NE,Scotts Bluff,26,21,2,2,0.807692308,0.076923077,0.076923077,2.807692308,,
2003,NE,Seward,8,6,0,2,0.75,0,0.25,2.75,,
2003,NE,Sheridan,5,5,0,0,1,0,0,3,,
2003,NE,Sherman,2,2,0,0,1,0,0,3,,
2003,NE,Sioux,1,0,0,1,0,0,1,7,,
2003,NE,Stanton,1,1,0,0,1,0,0,3,,
2003,NE,Thayer,3,3,0,0,1,0,0,3,,
2003,NE,Thomas,0,0,0,0,0,0,0,0,,
2003,NE,Thurston,4,4,0,0,1,0,0,3,,
2003,NE,Valley,1,1,0,0,1,0,0,3,,
2003,NE,Washington,23,20,0,2,0.869565217,0,0.086956522,2.869565217,,
2003,NE,Wayne,7,7,0,0,1,0,0,3,,
2003,NE,Webster,2,1,0,1,0.5,0,0.5,0,,
2003,NE,Wheeler,0,0,0,0,0,0,0,0,,
2003,NE,York,10,7,1,2,0.7,0.1,0.2,2.7,,
2003,NH,Belknap,21,0,0,18,0,0,0.857142857,6.857142857,,
2003,NH,Carroll,24,0,0,22,0,0,0.916666667,6.916666667,,
2003,NH,Cheshire,30,0,0,30,0,0,1,7,,
2003,NH,Coos,15,0,0,15,0,0,1,7,,
2003,NH,Grafton,37,0,1,32,0,0.027027027,0.864864865,6.864864865,,
2003,NH,Hillsborough,185,0,10,145,0,0.054054054,0.783783784,6.783783784,,
2003,NH,Merrimack,74,2,0,62,0.027027027,0,0.837837838,6.837837838,,
2003,NH,Rockingham,147,1,6,112,0.006802721,0.040816327,0.761904762,6.761904762,,
2003,NH,Strafford,59,0,0,46,0,0,0.779661017,6.779661017,,
2003,NH,Sullivan,14,0,0,13,0,0,0.928571429,6.928571429,,
2003,NJ,Atlantic,63,1,2,60,0.015873016,0.031746032,0.952380952,6.952380952,,
2003,NJ,Bergen,434,4,12,411,0.00921659,0.02764977,0.947004608,6.947004608,,
2003,NJ,Burlington,158,1,7,150,0.006329114,0.044303797,0.949367089,6.949367089,,
2003,NJ,Camden,216,2,6,206,0.009259259,0.027777778,0.953703704,6.953703704,,
2003,NJ,Cape May,20,0,0,20,0,0,1,7,,
2003,NJ,Cumberland,41,0,0,40,0,0,0.975609756,6.975609756,,
2003,NJ,Essex,271,10,7,252,0.036900369,0.025830258,0.929889299,6.929889299,,
2003,NJ,Gloucester,85,0,3,82,0,0.035294118,0.964705882,6.964705882,,
2003,NJ,Hudson,122,2,6,113,0.016393443,0.049180328,0.926229508,6.926229508,,
2003,NJ,Hunterdon,74,0,1,73,0,0.013513514,0.986486486,6.986486486,,
2003,NJ,Mercer,152,0,2,149,0,0.013157895,0.980263158,6.980263158,,
2003,NJ,Middlesex,302,3,16,280,0.009933775,0.052980132,0.927152318,6.927152318,,
2003,NJ,Monmouth,302,1,11,283,0.003311258,0.036423841,0.937086093,6.937086093,,
2003,NJ,Morris,285,5,5,272,0.01754386,0.01754386,0.954385965,6.954385965,,
2003,NJ,Ocean,162,1,3,154,0.00617284,0.018518519,0.950617284,6.950617284,,
2003,NJ,Passaic,162,2,6,152,0.012345679,0.037037037,0.938271605,6.938271605,,
2003,NJ,Salem,17,0,0,17,0,0,1,7,,
2003,NJ,Somerset,147,2,4,139,0.013605442,0.027210884,0.945578231,6.945578231,,
2003,NJ,Sussex,52,0,1,50,0,0.019230769,0.961538462,6.961538462,,
2003,NJ,Union,192,1,6,185,0.005208333,0.03125,0.963541667,6.963541667,,
2003,NJ,Warren,39,1,1,37,0.025641026,0.025641026,0.948717949,6.948717949,,
2003,NM,Bernalillo,195,11,115,60,0.056410256,0.58974359,0.307692308,4.58974359,,
2003,NM,Catron,0,0,0,0,0,0,0,0,,
2003,NM,Chaves,22,0,17,5,0,0.772727273,0.227272727,4.772727273,,
2003,NM,Cibola,2,1,1,0,0.5,0.5,0,0,,
2003,NM,Colfax,2,0,2,0,0,1,0,5,,
2003,NM,Curry,18,0,10,5,0,0.555555556,0.277777778,4.555555556,,
2003,NM,De Baca,1,0,0,1,0,0,1,7,,
2003,NM,Dona Ana,34,1,17,16,0.029411765,0.5,0.470588235,4.5,,
2003,NM,Eddy,10,0,8,2,0,0.8,0.2,4.8,,
2003,NM,Grant,4,0,0,1,0,0,0.25,6.25,,
2003,NM,Guadalupe,0,0,0,0,0,0,0,0,,
2003,NM,Harding,0,0,0,0,0,0,0,0,,
2003,NM,Hidalgo,1,0,0,1,0,0,1,7,,
2003,NM,Lea,17,1,12,4,0.058823529,0.705882353,0.235294118,4.705882353,,
2003,NM,Lincoln,0,0,0,0,0,0,0,0,,
2003,NM,Los Alamos,27,4,10,11,0.148148148,0.37037037,0.407407407,6.407407407,,
2003,NM,Luna,3,0,2,1,0,0.666666667,0.333333333,4.666666667,,
2003,NM,McKinley,12,4,5,3,0.333333333,0.416666667,0.25,4.416666667,,
2003,NM,Mora,1,0,1,0,0,1,0,5,,
2003,NM,Otero,15,1,8,5,0.066666667,0.533333333,0.333333333,4.533333333,,
2003,NM,Quay,1,0,1,0,0,1,0,5,,
2003,NM,Rio Arriba,3,0,2,1,0,0.666666667,0.333333333,4.666666667,,
